Date,Description,Amount,Category,Type
2025-12-05,AMAZON PRIME,753.52,,Debit
2024-04-08,PETROL PUMP,3581.33,,Debit
2024-01-07,FLIPKART,2983.65,,Debit
2025-09-29,GYM MEMBERSHIP,523.28,,Debit
2024-04-27,PETROL PUMP,3880.4,,Debit
2025-01-14,UBER,1072.25,,Debit
2024-03-27,NETFLIX,732.74,,Debit
2024-04-24,YOUTUBE PREMIUM,276.57,,Debit
2025-05-21,INTEREST CREDIT,724.9,,Credit
2024-12-02,CASHBACK CREDIT,1579.76,,Credit
2025-01-25,NETFLIX,625.02,,Debit
2024-02-20,OLA CABS,789.73,,Debit
2024-11-23,GYM MEMBERSHIP,1751.69,,Debit
2025-09-07,RAPIDO,447.13,,Debit
2024-08-24,BONUS CREDIT,1478.1,,Credit
2025-07-24,DOMINOS PIZZA,339.05,,Debit
2025-07-06,INTERNET BILL,594.69,,Debit
2025-12-11,SPOTIFY,194.96,,Debit
2024-07-13,GAS CYLINDER,967.28,,Debit
2025-02-01,OLA CABS,960.44,,Debit
2025-03-28,MOBILE RECHARGE,567.3,,Debit
2025-06-26,RENT,17331.0,,Debit
2024-06-03,PVR CINEMAS,931.55,,Debit
2024-07-31,STARBUCKS,214.88,,Debit
2024-01-10,GAS CYLINDER,1090.22,,Debit
2024-08-02,CASHBACK CREDIT,1227.7,,Credit
2025-06-07,INTERNET BILL,997.83,,Debit
2024-12-07,INTEREST CREDIT,1338.25,,Credit
2025-08-26,AMAZON.COM,4515.37,,Debit
2025-04-17,YOUTUBE PREMIUM,186.88,,Debit
2025-12-04,ZOMATO,766.08,,Debit
2024-08-20,SALARY CREDIT,58750.46,,Credit
2024-12-05,ELECTRICITY BILL,1424.56,,Debit
2024-06-04,SALARY CREDIT,45832.85,,Credit
2025-05-01,ZOMATO,969.1,,Debit
2025-11-19,DMART,4478.65,,Debit
2024-02-28,NETFLIX,920.17,,Debit
2025-02-27,UDEMY COURSE,1791.98,,Debit
2025-01-11,WATER BILL,734.75,,Debit
2024-11-29,MOBILE RECHARGE,392.95,,Debit
2025-02-14,GYM MEMBERSHIP,2503.68,,Debit
2025-02-21,GAS CYLINDER,856.39,,Debit
2024-01-01,MCDONALDS,581.82,,Debit
2024-02-20,PVR CINEMAS,1754.25,,Debit
2025-11-16,UDEMY COURSE,1624.23,,Debit
2024-08-05,ZOMATO,701.22,,Debit
2025-04-17,MYNTRA,862.3,,Debit
2025-03-11,DOMINOS PIZZA,674.44,,Debit
2025-02-08,DMART,2948.88,,Debit
2025-06-08,SPOTIFY,280.8,,Debit
2025-01-12,APOLLO PHARMACY,1281.93,,Debit
2025-03-17,STARBUCKS,796.14,,Debit
2025-10-21,UDEMY COURSE,345.37,,Debit
2025-11-05,PETROL PUMP,4166.23,,Debit
2024-12-08,BOOKMYSHOW,1119.39,,Debit
2025-06-12,DMART,2779.49,,Debit
2025-01-26,SALARY CREDIT,67805.55,,Credit
2024-11-06,MOBILE RECHARGE,520.09,,Debit
2024-04-22,MOBILE RECHARGE,926.89,,Debit
2024-11-13,BONUS CREDIT,115.25,,Credit
2025-01-05,SWIGGY,752.76,,Debit
2024-01-13,MYNTRA,700.04,,Debit
2024-04-19,GAS CYLINDER,1438.5,,Debit
2025-07-20,YOUTUBE PREMIUM,326.59,,Debit
2024-08-04,MOBILE RECHARGE,224.13,,Debit
2024-06-27,PETROL PUMP,4042.09,,Debit
2025-03-23,STARBUCKS,476.69,,Debit
2025-04-21,GAS CYLINDER,964.54,,Debit
2025-11-12,STARBUCKS,765.65,,Debit
2025-08-23,CASHBACK CREDIT,807.67,,Credit
2025-02-27,SPOTIFY,212.63,,Debit
2025-01-31,ZOMATO,1098.15,,Debit
2024-05-23,LOCAL RESTAURANT,1943.18,,Debit
2024-05-03,STARBUCKS,303.52,,Debit
2025-07-02,ZOMATO,706.86,,Debit
2025-08-03,DMART,6298.25,,Debit
2025-01-05,PETROL PUMP,2022.49,,Debit
2025-01-07,MEDPLUS,2497.34,,Debit
2024-09-17,PVR CINEMAS,1953.38,,Debit
2025-03-05,PVR CINEMAS,1135.08,,Debit
2024-09-06,BOOKMYSHOW,673.97,,Debit
2025-10-10,AMAZON.COM,3390.03,,Debit
2025-08-12,APOLLO PHARMACY,2963.13,,Debit
2024-06-19,ZOMATO,160.47,,Debit
2025-01-17,MEDPLUS,839.73,,Debit
2025-08-13,GAS CYLINDER,1376.09,,Debit
2025-06-03,MYNTRA,1866.49,,Debit
2024-08-06,ELECTRICITY BILL,766.49,,Debit
2025-08-28,FREELANCE PAYMENT,18480.8,,Credit
2024-02-16,DMART,6032.76,,Debit
2025-06-14,RENT,17692.98,,Debit
2025-09-29,YOUTUBE PREMIUM,225.32,,Debit
2024-01-28,DMART,3935.66,,Debit
2024-04-18,PVR CINEMAS,1113.41,,Debit
2025-04-20,RAPIDO,558.46,,Debit
2024-10-11,SALARY CREDIT,45776.91,,Credit
2025-06-23,RENT,16830.87,,Debit
2024-06-02,INTEREST CREDIT,1543.03,,Credit
2024-08-26,UBER,1042.86,,Debit
2024-07-22,UBER,157.07,,Debit
2024-03-17,GYM MEMBERSHIP,1301.49,,Debit
2025-08-21,APOLLO PHARMACY,2886.79,,Debit
2024-09-21,SPOTIFY,205.59,,Debit
2025-04-09,STARBUCKS,648.95,,Debit
2024-01-14,UDEMY COURSE,1062.65,,Debit
2024-11-10,FLIPKART,3924.0,,Debit
2024-07-08,PETROL PUMP,4647.57,,Debit
2025-07-27,INTERNET BILL,995.79,,Debit
2025-08-18,GAS CYLINDER,1214.68,,Debit
2024-10-11,UBER,763.03,,Debit
2024-03-16,BONUS CREDIT,1823.53,,Credit
2025-12-01,GAS CYLINDER,1433.62,,Debit
2024-01-17,CASHBACK CREDIT,1971.5,,Credit
2025-09-30,INTERNET BILL,1002.7,,Debit
2024-03-26,INTEREST CREDIT,1902.44,,Credit
2025-08-15,GYM MEMBERSHIP,2816.97,,Debit
2025-11-17,SPOTIFY,268.8,,Debit
2025-11-19,RAPIDO,115.17,,Debit
2024-10-12,OLA CABS,624.15,,Debit
2025-05-05,LOCAL RESTAURANT,1048.16,,Debit
2024-09-18,AMAZON.COM,4839.18,,Debit
2025-06-17,ELECTRICITY BILL,2497.22,,Debit
2025-06-23,RENT,17311.67,,Debit
2024-03-16,RAPIDO,507.34,,Debit
2024-09-20,AMAZON PRIME,1192.03,,Debit
2025-12-02,PVR CINEMAS,1663.41,,Debit
2024-07-30,WATER BILL,984.7,,Debit
2024-09-18,PETROL PUMP,3076.62,,Debit
2025-04-28,ELECTRICITY BILL,2462.9,,Debit
2024-07-18,LOCAL RESTAURANT,296.83,,Debit
2024-07-04,AMAZON.COM,1385.0,,Debit
2025-02-28,SPOTIFY,220.67,,Debit
2024-08-15,UDEMY COURSE,520.11,,Debit
2024-06-10,LOCAL RESTAURANT,1262.92,,Debit
2024-12-29,STARBUCKS,671.38,,Debit
2024-06-27,YOUTUBE PREMIUM,332.42,,Debit
2024-07-01,GYM MEMBERSHIP,2333.82,,Debit
2025-03-15,MYNTRA,1304.13,,Debit
2025-03-12,RENT,16411.13,,Debit
2025-02-07,DMART,4660.21,,Debit
2025-07-24,SPOTIFY,206.57,,Debit
2025-11-11,PETROL PUMP,2423.55,,Debit
2025-05-29,SWIGGY,1007.5,,Debit
2024-10-01,SWIGGY,174.33,,Debit
2025-07-02,SALARY CREDIT,66789.1,,Credit
2024-01-08,UDEMY COURSE,1737.77,,Debit
2025-06-21,RENT,17173.72,,Debit
2025-06-08,GAS CYLINDER,924.79,,Debit
2024-08-26,SPOTIFY,221.96,,Debit
2025-02-28,LOCAL RESTAURANT,1847.54,,Debit
2024-03-18,NETFLIX,252.27,,Debit
2025-07-09,RENT,19202.85,,Debit
2024-11-09,UBER,228.54,,Debit
2024-09-01,PETROL PUMP,3413.03,,Debit
2024-10-14,MEDPLUS,130.47,,Debit
2024-03-21,BOOKMYSHOW,555.01,,Debit
2024-09-11,DMART,3101.72,,Debit
2024-05-14,SWIGGY,1038.39,,Debit
2025-10-12,LOCAL RESTAURANT,314.33,,Debit
2024-12-07,STARBUCKS,949.05,,Debit
2025-11-15,INTEREST CREDIT,1378.57,,Credit
2024-02-07,DMART,5599.18,,Debit
2025-11-22,PETROL PUMP,747.67,,Debit
2025-12-10,LOCAL RESTAURANT,217.49,,Debit
2025-06-14,DOMINOS PIZZA,228.96,,Debit
2025-08-15,FLIPKART,6201.66,,Debit
2025-01-09,ZOMATO,415.84,,Debit
2025-10-10,UDEMY COURSE,466.49,,Debit
2024-02-10,ELECTRICITY BILL,1292.99,,Debit
2025-11-24,WATER BILL,561.7,,Debit
2025-01-29,DOMINOS PIZZA,1083.58,,Debit
2024-08-02,INTERNET BILL,1131.2,,Debit
2024-11-14,YOUTUBE PREMIUM,222.19,,Debit
2025-03-19,MOBILE RECHARGE,292.01,,Debit
2024-06-05,DOMINOS PIZZA,939.51,,Debit
2025-09-09,STARBUCKS,582.02,,Debit
2025-08-27,INTERNET BILL,1398.62,,Debit
2024-06-26,MYNTRA,1734.7,,Debit
2025-11-16,WATER BILL,321.4,,Debit
2024-05-10,BONUS CREDIT,1849.79,,Credit
2024-08-29,PVR CINEMAS,1177.62,,Debit
2024-06-22,AMAZON.COM,6111.23,,Debit
2025-01-31,RENT,13347.71,,Debit
2025-04-29,BOOKMYSHOW,1456.18,,Debit
2024-09-07,GAS CYLINDER,1101.96,,Debit
2025-02-19,SALARY CREDIT,51586.21,,Credit
2025-05-24,PETROL PUMP,2353.09,,Debit
2025-10-01,CASHBACK CREDIT,1122.51,,Credit
2025-05-09,GAS CYLINDER,1460.45,,Debit
2025-10-30,GYM MEMBERSHIP,1011.3,,Debit
2024-11-22,UBER,145.72,,Debit
2024-12-10,INTEREST CREDIT,1547.12,,Credit
2025-06-03,RENT,12295.22,,Debit
2025-05-20,INTERNET BILL,1377.02,,Debit
2025-10-24,NETFLIX,458.25,,Debit
2025-08-31,MCDONALDS,521.81,,Debit
2024-07-29,LOCAL RESTAURANT,1123.99,,Debit
2025-03-06,FLIPKART,3191.18,,Debit
2025-09-15,AMAZON.COM,8504.99,,Debit
2024-05-27,ELECTRICITY BILL,1648.65,,Debit
2024-12-13,MYNTRA,395.53,,Debit
2025-05-13,INTERNET BILL,1236.43,,Debit
2024-05-27,DOMINOS PIZZA,617.01,,Debit
2024-08-17,FREELANCE PAYMENT,23930.66,,Credit
2024-03-05,RAPIDO,657.62,,Debit
2024-08-21,BONUS CREDIT,1539.83,,Credit
2024-02-08,UBER,1365.39,,Debit
2024-11-26,INTERNET BILL,950.81,,Debit
2024-10-16,CASHBACK CREDIT,1798.01,,Credit
2025-03-22,MOBILE RECHARGE,306.14,,Debit
2025-11-30,LOCAL RESTAURANT,1817.48,,Debit
2025-11-06,SWIGGY,517.1,,Debit
2025-01-23,APOLLO PHARMACY,2932.25,,Debit
2025-12-30,DOMINOS PIZZA,627.25,,Debit
2025-06-29,SWIGGY,663.92,,Debit
2025-03-26,CASHBACK CREDIT,886.57,,Credit
2024-06-30,DOMINOS PIZZA,345.33,,Debit
2025-11-24,MOBILE RECHARGE,412.54,,Debit
2025-08-13,FREELANCE PAYMENT,21787.15,,Credit
2024-03-13,AMAZON.COM,8437.34,,Debit
2025-03-28,DMART,4721.56,,Debit
2024-05-27,BONUS CREDIT,404.94,,Credit
2025-09-15,MEDPLUS,2736.76,,Debit
2025-09-26,STARBUCKS,376.79,,Debit
2024-08-10,PVR CINEMAS,1654.41,,Debit
2025-06-08,ZOMATO,1184.91,,Debit
2024-09-03,NETFLIX,785.53,,Debit
2025-02-21,GYM MEMBERSHIP,1657.87,,Debit
2024-07-21,UBER,548.75,,Debit
2025-09-17,SPOTIFY,167.97,,Debit
2024-06-10,CASHBACK CREDIT,888.51,,Credit
2024-03-21,BOOKMYSHOW,952.11,,Debit
2024-11-02,ELECTRICITY BILL,839.41,,Debit
2024-05-05,AMAZON.COM,6018.4,,Debit
2025-07-10,SWIGGY,270.15,,Debit
2025-08-26,BOOKMYSHOW,1299.29,,Debit
2025-05-31,STARBUCKS,962.0,,Debit
2025-12-18,MCDONALDS,779.45,,Debit
2024-12-09,MEDPLUS,2842.38,,Debit
2024-11-18,NETFLIX,828.85,,Debit
2025-06-14,INTEREST CREDIT,451.57,,Credit
2024-09-02,INTEREST CREDIT,1763.98,,Credit
2024-05-16,MEDPLUS,1683.88,,Debit
2025-02-21,MEDPLUS,1565.82,,Debit
2025-06-01,BONUS CREDIT,984.62,,Credit
2024-06-22,SWIGGY,864.06,,Debit
2024-04-01,SWIGGY,854.61,,Debit
2024-01-20,PVR CINEMAS,1793.38,,Debit
2025-06-24,NETFLIX,618.28,,Debit
2024-02-25,DMART,5161.2,,Debit
2024-03-29,INTERNET BILL,918.76,,Debit
2024-05-28,BONUS CREDIT,809.64,,Credit
2025-10-18,CASHBACK CREDIT,365.56,,Credit
2025-03-19,MOBILE RECHARGE,494.26,,Debit
2025-11-17,SWIGGY,258.88,,Debit
2024-12-25,SPOTIFY,264.68,,Debit
2024-02-29,MCDONALDS,784.63,,Debit
2024-10-11,STARBUCKS,732.31,,Debit
2024-05-13,GYM MEMBERSHIP,1153.87,,Debit
2024-08-15,DMART,3632.88,,Debit
2025-03-25,STARBUCKS,836.59,,Debit
2024-06-07,OLA CABS,989.08,,Debit
2024-04-16,LOCAL RESTAURANT,1623.14,,Debit
2024-03-13,MOBILE RECHARGE,402.03,,Debit
2024-10-24,LOCAL RESTAURANT,458.37,,Debit
2025-10-01,MOBILE RECHARGE,845.72,,Debit
2024-02-23,BOOKMYSHOW,1059.7,,Debit
2025-06-21,MOBILE RECHARGE,592.35,,Debit
2025-09-11,APOLLO PHARMACY,2227.21,,Debit
2024-07-25,MEDPLUS,803.3,,Debit
2024-01-14,FLIPKART,8605.89,,Debit
2024-08-31,SALARY CREDIT,66380.27,,Credit
2024-11-23,APOLLO PHARMACY,602.41,,Debit
2025-03-22,UDEMY COURSE,1679.18,,Debit
2025-12-14,MCDONALDS,250.61,,Debit
2024-11-14,GYM MEMBERSHIP,2422.37,,Debit
2024-07-16,GAS CYLINDER,1338.24,,Debit
2025-02-25,RENT,18914.39,,Debit
2024-11-17,SWIGGY,265.0,,Debit
2025-07-10,INTERNET BILL,757.59,,Debit
2024-10-13,DOMINOS PIZZA,869.94,,Debit
2024-11-17,AMAZON PRIME,433.43,,Debit
2024-02-16,SPOTIFY,205.44,,Debit
2024-02-09,DMART,4054.11,,Debit
2025-12-25,INTEREST CREDIT,122.2,,Credit
2025-05-05,PVR CINEMAS,442.93,,Debit
2024-08-16,INTERNET BILL,1123.42,,Debit
2024-12-25,FREELANCE PAYMENT,13364.32,,Credit
2025-03-12,MEDPLUS,2029.06,,Debit
2025-02-20,MYNTRA,861.97,,Debit
2024-02-17,ZOMATO,767.53,,Debit
2025-09-12,FREELANCE PAYMENT,15468.88,,Credit
2025-05-21,UBER,523.73,,Debit
2024-08-01,MEDPLUS,2316.12,,Debit
2024-04-21,RAPIDO,61.98,,Debit
2024-11-25,CASHBACK CREDIT,1256.96,,Credit
2025-01-19,INTEREST CREDIT,1536.49,,Credit
2025-11-14,LOCAL RESTAURANT,1663.7,,Debit
2025-12-12,DMART,5368.23,,Debit
2024-05-03,LOCAL RESTAURANT,785.49,,Debit
2024-09-27,SPOTIFY,147.72,,Debit
2025-05-26,BONUS CREDIT,942.91,,Credit
2025-07-17,UDEMY COURSE,717.57,,Debit
2024-07-27,OLA CABS,1334.99,,Debit
2025-01-19,CASHBACK CREDIT,1907.59,,Credit
2025-05-24,DMART,6065.07,,Debit
2024-12-05,DMART,3340.63,,Debit
2024-11-23,RAPIDO,684.77,,Debit
2025-03-16,PETROL PUMP,3119.59,,Debit
2024-06-08,GYM MEMBERSHIP,1473.59,,Debit
2024-09-19,RAPIDO,418.07,,Debit
2024-02-23,WATER BILL,490.73,,Debit
2025-09-29,MEDPLUS,133.6,,Debit
2024-12-27,PETROL PUMP,1384.22,,Debit
2024-10-14,PVR CINEMAS,1570.59,,Debit
2024-11-29,DOMINOS PIZZA,1171.92,,Debit
2024-02-19,RAPIDO,160.38,,Debit
2024-09-01,WATER BILL,226.09,,Debit
2025-10-21,ZOMATO,537.04,,Debit
2024-04-22,RENT,16330.59,,Debit
2024-04-29,APOLLO PHARMACY,2625.03,,Debit
2025-07-15,YOUTUBE PREMIUM,158.65,,Debit
2024-07-26,UBER,1034.64,,Debit
2024-05-16,SWIGGY,511.12,,Debit
2025-04-25,SWIGGY,514.09,,Debit
2025-01-26,OLA CABS,217.66,,Debit
2024-12-15,MOBILE RECHARGE,247.6,,Debit
2024-10-03,STARBUCKS,375.39,,Debit
2025-11-06,STARBUCKS,790.45,,Debit
2024-05-07,AMAZON PRIME,992.17,,Debit
2024-12-09,PETROL PUMP,2633.86,,Debit
2024-06-30,UDEMY COURSE,207.18,,Debit
2024-08-19,STARBUCKS,316.97,,Debit
2024-02-05,AMAZON PRIME,1329.61,,Debit
2025-02-26,PETROL PUMP,3168.07,,Debit
2025-04-11,AMAZON PRIME,1229.1,,Debit
2025-04-05,AMAZON.COM,1914.22,,Debit
2025-02-21,AMAZON PRIME,905.52,,Debit
2024-09-01,WATER BILL,800.18,,Debit
2024-06-01,INTEREST CREDIT,462.57,,Credit
2025-07-27,UDEMY COURSE,1947.85,,Debit
2024-12-02,OLA CABS,1062.41,,Debit
2025-03-23,NETFLIX,696.2,,Debit
2025-05-05,INTERNET BILL,606.07,,Debit
2024-07-30,UBER,1427.72,,Debit
2024-06-26,BOOKMYSHOW,905.93,,Debit
2024-03-18,MEDPLUS,1561.07,,Debit
2024-02-07,ELECTRICITY BILL,1542.21,,Debit
2024-04-10,PETROL PUMP,3748.29,,Debit
2025-02-13,GYM MEMBERSHIP,2202.6,,Debit
2024-08-10,LOCAL RESTAURANT,1816.69,,Debit
2025-06-08,INTEREST CREDIT,1298.72,,Credit
2025-09-25,SWIGGY,299.38,,Debit
2024-05-19,BONUS CREDIT,1030.75,,Credit
2025-12-09,OLA CABS,307.43,,Debit
2025-08-26,UDEMY COURSE,550.15,,Debit
2025-07-24,DMART,5075.75,,Debit
2025-04-22,GYM MEMBERSHIP,839.88,,Debit
2024-04-25,AMAZON PRIME,743.13,,Debit
2025-02-24,YOUTUBE PREMIUM,224.17,,Debit
2024-09-17,CASHBACK CREDIT,935.0,,Credit
2024-10-03,LOCAL RESTAURANT,1975.9,,Debit
2024-12-08,GAS CYLINDER,1086.67,,Debit
2025-11-23,STARBUCKS,416.15,,Debit
2024-05-05,FLIPKART,3867.76,,Debit
2025-01-24,PETROL PUMP,1180.19,,Debit
2024-09-16,APOLLO PHARMACY,869.3,,Debit
2025-03-02,ELECTRICITY BILL,2360.42,,Debit
2024-11-05,MYNTRA,1036.7,,Debit
2025-10-23,MEDPLUS,705.85,,Debit
2024-04-03,PETROL PUMP,1896.83,,Debit
2024-01-02,AMAZON.COM,5371.76,,Debit
2025-08-04,RAPIDO,129.78,,Debit
2024-08-04,ELECTRICITY BILL,1234.34,,Debit
2025-05-24,STARBUCKS,418.26,,Debit
2025-10-14,PETROL PUMP,3624.66,,Debit
2025-11-14,MCDONALDS,600.19,,Debit
2024-02-08,MCDONALDS,157.38,,Debit
2025-01-20,MOBILE RECHARGE,786.03,,Debit
2024-01-25,OLA CABS,815.5,,Debit
2024-08-03,RENT,10422.34,,Debit
2025-04-04,GAS CYLINDER,847.65,,Debit
2024-01-22,RENT,17458.65,,Debit
2025-09-08,RAPIDO,68.59,,Debit
2025-08-21,RAPIDO,272.0,,Debit
2024-05-10,OLA CABS,177.78,,Debit
2025-11-05,DMART,3041.35,,Debit
2025-11-03,SPOTIFY,101.05,,Debit
2025-11-02,DOMINOS PIZZA,335.47,,Debit
2024-07-17,MOBILE RECHARGE,682.68,,Debit
2025-12-02,BOOKMYSHOW,804.15,,Debit
2024-02-10,BONUS CREDIT,1788.0,,Credit
2024-07-09,UDEMY COURSE,1786.68,,Debit
2024-04-04,RENT,19832.33,,Debit
2024-07-01,INTERNET BILL,545.18,,Debit
2025-04-24,GAS CYLINDER,1483.27,,Debit
2024-08-21,DOMINOS PIZZA,258.56,,Debit
2025-03-08,BONUS CREDIT,1640.72,,Credit
2024-03-02,MEDPLUS,2286.34,,Debit
2025-09-26,PVR CINEMAS,666.77,,Debit
2024-11-22,PVR CINEMAS,1528.76,,Debit
2025-09-12,FREELANCE PAYMENT,19481.86,,Credit
2025-04-24,MCDONALDS,338.62,,Debit
2024-04-10,INTERNET BILL,553.9,,Debit
2024-07-08,ZOMATO,436.71,,Debit
2024-04-25,MYNTRA,590.07,,Debit
2025-01-17,PVR CINEMAS,1226.67,,Debit
2024-09-14,PVR CINEMAS,648.18,,Debit
2024-12-02,BONUS CREDIT,141.19,,Credit
2025-08-31,SPOTIFY,199.74,,Debit
2024-04-10,ELECTRICITY BILL,2438.28,,Debit
2025-06-06,DMART,6319.35,,Debit
2024-01-10,ZOMATO,477.48,,Debit
2024-06-12,BONUS CREDIT,924.64,,Credit
2024-01-17,MCDONALDS,319.16,,Debit
2025-11-07,PVR CINEMAS,939.89,,Debit
2025-07-07,AMAZON PRIME,717.36,,Debit
2025-10-17,GYM MEMBERSHIP,2918.77,,Debit
2025-01-26,UDEMY COURSE,1305.72,,Debit
2024-08-17,ELECTRICITY BILL,1920.97,,Debit
2024-08-25,UDEMY COURSE,898.41,,Debit
2024-05-18,LOCAL RESTAURANT,1035.08,,Debit
2025-09-17,MCDONALDS,622.47,,Debit
2024-09-04,MEDPLUS,2105.32,,Debit
2024-06-22,YOUTUBE PREMIUM,152.89,,Debit
2025-06-24,DMART,5319.52,,Debit
2024-09-12,RAPIDO,628.19,,Debit
2024-06-02,GYM MEMBERSHIP,1083.9,,Debit
2025-10-26,GAS CYLINDER,821.54,,Debit
2024-08-04,ELECTRICITY BILL,1462.68,,Debit
2024-05-21,BONUS CREDIT,1760.55,,Credit
2024-04-29,GYM MEMBERSHIP,2590.08,,Debit
2025-12-04,YOUTUBE PREMIUM,161.74,,Debit
2025-06-05,AMAZON PRIME,739.88,,Debit
2024-01-21,LOCAL RESTAURANT,1179.36,,Debit
2025-11-05,GYM MEMBERSHIP,2970.65,,Debit
2025-06-07,FLIPKART,8673.26,,Debit
2024-09-17,STARBUCKS,457.42,,Debit
2024-08-30,SPOTIFY,121.61,,Debit
2025-02-23,CASHBACK CREDIT,1362.54,,Credit
2025-01-27,FREELANCE PAYMENT,8287.73,,Credit
2025-03-11,SALARY CREDIT,59249.09,,Credit
2025-07-07,RAPIDO,627.64,,Debit
2025-03-11,MEDPLUS,450.36,,Debit
2024-04-24,PETROL PUMP,974.97,,Debit
2024-08-09,GAS CYLINDER,1268.59,,Debit
2024-07-25,BOOKMYSHOW,867.53,,Debit
2025-04-21,MOBILE RECHARGE,652.28,,Debit
2024-02-18,AMAZON PRIME,1411.58,,Debit
2025-09-29,DOMINOS PIZZA,416.78,,Debit
2024-08-07,MOBILE RECHARGE,496.92,,Debit
2024-06-30,WATER BILL,344.73,,Debit
2025-04-25,FREELANCE PAYMENT,13255.09,,Credit
2025-07-15,CASHBACK CREDIT,403.25,,Credit
2025-02-12,DMART,5515.13,,Debit
2025-07-04,DOMINOS PIZZA,804.55,,Debit
2024-05-16,WATER BILL,780.22,,Debit
2024-01-15,RAPIDO,290.67,,Debit
2025-09-26,ZOMATO,643.07,,Debit
2024-02-19,PVR CINEMAS,1637.23,,Debit
2025-07-20,SALARY CREDIT,46100.93,,Credit
2024-12-27,ZOMATO,572.77,,Debit
2024-06-01,AMAZON.COM,3881.62,,Debit
2024-09-06,UDEMY COURSE,667.64,,Debit
2025-05-19,GYM MEMBERSHIP,1015.29,,Debit
2024-10-15,MYNTRA,462.59,,Debit
2024-06-14,DMART,6586.94,,Debit
2024-06-11,WATER BILL,935.02,,Debit
2024-01-09,FLIPKART,6679.16,,Debit
2024-06-11,OLA CABS,1163.05,,Debit
2024-12-07,GAS CYLINDER,1114.35,,Debit
2025-03-14,LOCAL RESTAURANT,1943.5,,Debit
2024-06-27,MOBILE RECHARGE,548.41,,Debit
2024-07-31,BONUS CREDIT,1629.16,,Credit
2024-03-25,SALARY CREDIT,49237.59,,Credit
2024-01-01,UDEMY COURSE,548.66,,Debit
2024-10-26,DOMINOS PIZZA,718.26,,Debit
2024-11-02,ZOMATO,910.08,,Debit
2024-08-13,FREELANCE PAYMENT,20656.04,,Credit
2025-08-11,INTEREST CREDIT,1026.25,,Credit
2025-12-02,UBER,461.55,,Debit
2024-04-04,RENT,16939.28,,Debit
2025-01-21,RAPIDO,318.73,,Debit
2025-09-01,LOCAL RESTAURANT,387.87,,Debit
2025-10-05,FLIPKART,1535.87,,Debit
2024-08-07,PETROL PUMP,1355.11,,Debit
2025-06-14,PVR CINEMAS,434.19,,Debit
2025-01-05,ELECTRICITY BILL,1500.84,,Debit
2025-01-02,DOMINOS PIZZA,904.97,,Debit
2025-04-20,LOCAL RESTAURANT,276.04,,Debit
2024-10-07,DMART,6848.37,,Debit
2025-06-03,ELECTRICITY BILL,2048.01,,Debit
2024-03-21,FLIPKART,8221.54,,Debit
2024-05-31,APOLLO PHARMACY,1010.4,,Debit
2025-06-13,INTEREST CREDIT,1187.76,,Credit
2024-06-17,WATER BILL,826.42,,Debit
2024-08-18,DMART,1595.35,,Debit
2024-06-19,DOMINOS PIZZA,941.06,,Debit
2025-02-04,DOMINOS PIZZA,752.79,,Debit
2025-08-23,BOOKMYSHOW,1200.84,,Debit
2024-02-23,YOUTUBE PREMIUM,291.56,,Debit
2025-02-07,LOCAL RESTAURANT,983.59,,Debit
2025-03-14,AMAZON.COM,6162.15,,Debit
2024-12-13,UDEMY COURSE,1900.42,,Debit
2024-01-06,ELECTRICITY BILL,817.23,,Debit
2025-01-19,MYNTRA,1882.42,,Debit
2025-12-20,RENT,19691.9,,Debit
2024-03-01,ELECTRICITY BILL,1060.73,,Debit
2025-06-11,SPOTIFY,144.62,,Debit
2024-07-30,FREELANCE PAYMENT,21058.44,,Credit
2025-12-18,ZOMATO,659.89,,Debit
2024-03-25,RAPIDO,363.62,,Debit
2024-01-25,DOMINOS PIZZA,1072.71,,Debit
2025-08-27,ELECTRICITY BILL,570.15,,Debit
2025-11-21,APOLLO PHARMACY,756.79,,Debit
2025-09-30,UDEMY COURSE,108.81,,Debit
2024-08-18,AMAZON.COM,3446.8,,Debit
2025-03-08,RENT,15301.87,,Debit
2025-07-20,INTERNET BILL,872.48,,Debit
2025-11-28,UDEMY COURSE,223.99,,Debit
2025-07-12,DOMINOS PIZZA,1020.85,,Debit
2024-01-06,UBER,720.92,,Debit
2025-04-03,DOMINOS PIZZA,995.66,,Debit
2025-05-17,UBER,1280.31,,Debit
2024-01-30,LOCAL RESTAURANT,1922.4,,Debit
2025-01-12,BOOKMYSHOW,1323.9,,Debit
2025-09-26,WATER BILL,218.78,,Debit
2025-09-14,PVR CINEMAS,502.48,,Debit
2025-08-12,FREELANCE PAYMENT,18904.96,,Credit
2024-02-29,FLIPKART,6608.59,,Debit
2024-11-10,PVR CINEMAS,675.53,,Debit
2025-11-18,WATER BILL,401.77,,Debit
2025-04-09,ELECTRICITY BILL,2416.83,,Debit
2024-08-22,WATER BILL,401.01,,Debit
2024-04-09,NETFLIX,910.71,,Debit
2025-05-19,FREELANCE PAYMENT,19960.37,,Credit
2025-01-08,CASHBACK CREDIT,749.43,,Credit
2024-04-23,INTERNET BILL,1383.15,,Debit
2024-04-17,GYM MEMBERSHIP,861.83,,Debit
2025-02-19,STARBUCKS,382.53,,Debit
2025-08-17,SALARY CREDIT,51973.21,,Credit
2024-07-25,WATER BILL,912.03,,Debit
2025-03-30,YOUTUBE PREMIUM,267.34,,Debit
